Original_BBL,2021_bbl,facility_type,environmental_concern,facility_feature,map_year,created_date,image_id,comments_string
4024330041,4024330041,Other (input),Not Reported,Other,1914,04/13/2010,44212,Shed
1017860035,1017860035,Not reported,Not Reported,Building,1896,03/17/2015,42627,
3002080012,3002080012,Residential,Not Reported,Residential/dwelling,1980,11/24/2009,31603,No Additional Comments
3002080012,3002080012,Residential,Not Reported,Residential/dwelling,1887,11/24/2009,31597,No Additional Comments
5013840009,5013840009,Other (input),Not Reported,Other,1977,01/06/2010,51985,Parcel lies in roadway
5026200314,5026200314,Other (input),Not Reported,Other,1983,02/03/2010,104351,Parcel lies in a roadway.
5018350350,5018350350,Unknown,Not Reported,No Features Visible,1937,02/04/2010,94085,No Additional Comments
3014770028,3014770070,Transportation,Not Reported,Parking,1978,01/17/2010,30006,Private Parking
5080020017,5080020017,Unknown,Not Reported,No Features Visible,1950,03/04/2010,55152,No Additional Comments
2032930090,2032930090,Residential,Not Reported,Residential/dwelling,1945,01/07/2010,39343,Residential building with associated detached garage.
3079460045,3079460045,Other (input),Not Reported,Other,1907,12/14/2009,75564,Part of parcel lies in roadway
3074180030,3074180030,Unknown,Not Reported,No Features Visible,1980,01/28/2010,75052,No Additional Comments
3018760001,3018760001,Industrial,Equipment,Lumber yard/mill works,2007,03/13/2015,30966,Construction
4139210090,4139210090,Residential,Not Reported,Residential/dwelling,1926,02/17/2010,48564,No Additional Comments
4139100061,4139100061,Unknown,Not Reported,No Features Visible,1985,02/17/2010,48455,No Additional Comments
4127110018,4127110018,Commercial,Auto Repair,Auto Repair/Garage,1991,12/31/2009,47978,No Additional Comments
4124890012,4124890012,Unknown,Not Reported,No Features Visible,1991,12/31/2009,47957,No Additional Comments
4124890012,4124890012,Unknown,Not Reported,No Features Visible,1926,12/31/2009,47952,No Additional Comments
4124890012,4124890012,Unknown,Not Reported,No Features Visible,1989,12/31/2009,47956,No Additional Comments
4134130042,4134130042,Residential,Not Reported,Residential/dwelling,1926,01/04/2010,48030,1 detached garage
4102320029,4102320029,Commercial,Not Reported,Store,1951,12/31/2009,47706,No Additional Comments
4150020047,4150020047,Unknown,Not Reported,No Features Visible,1926,01/04/2010,48648,No Additional Comments
4123270030,4123270030,Unknown,Not Reported,No Features Visible,1912,12/31/2009,47926,No Additional Comments
4102190059,4102190059,Other (input),Not Reported,Other,1981,12/31/2009,47644,Parcel on roadway (175th St.)
4102190081,4102190081,Residential,Not Reported,Residential/dwelling,1982,12/31/2009,47667,No Additional Comments
4102180050,4102180050,Residential,Not Reported,Residential/dwelling,1981,12/31/2009,47604,No Additional Comments
4101570105,4101570105,Other (input),Not Reported,Other,1886,12/31/2009,47577,Barn
4097930054,4097930054,Other (input),Not Reported,Other,1891,01/06/2010,50954,Barn
4097600080,4097600080,Commercial,Not Reported,Store,1981,12/30/2009,50939,No Additional Comments
4101130071,4101130071,Transportation,Not Reported,Parking,1967,12/31/2009,47507,No Additional Comments
4160690024,4160690024,Commercial,Not Reported,Store,1933,03/17/2015,49133,
